"","DMSO1","DMSO2","DMSO3","AMLE1","AMLE2","AMLE3"
"Ift43",172,182,240,278,451,297
"Ift46",687,616,691,608,766,647
"Ift52",1286,1225,1251,1201,1614,1179
"Ift57",945,912,915,707,940,950
"Ift74",107,80,113,63,90,86
"Ift80",514,484,440,398,520,373
"Ift81",20,18,23,18,33,13
"Ift88",127,121,112,106,120,92
"Igbp1",1766,1598,1655,1458,2054,1484
"Igbp1b",0,0,0,0,0,0
"Igdcc3",0,0,1,0,0,0
"Igdcc4",1,1,0,1,2,1
"Igf1",151,221,106,145,121,101
"Igf1r",2671,2278,1948,2378,3157,2185
"Igf2",0,0,0,0,2,1
"Igf2bp1",10,14,11,44,36,46
"Igf2bp2",269,246,257,349,559,303
"Igf2bp3",179,184,149,122,205,114
"Igf2os",0,0,0,1,0,0
"Igf2r",1907,2021,2097,1755,2074,2388
"Igfals",1,1,0,1,1,0
"Igfbp1",0,0,0,0,0,0
"Igfbp2",0,0,0,0,0,0
"Igfbp3",0,0,0,0,2,0
"Igfbp4",1785,1524,1262,775,1058,707
"Igfbp5",0,0,0,22,94,7
"Igfbp6",19,14,8,66,85,58
"Igfbp7",22,22,23,38,55,31
"Igfbpl1",1,0,0,0,1,1
"Igfl3",0,0,0,0,0,0
"Igflr1",330,389,503,188,291,207
"Igfn1",0,0,0,2,0,0
"Ighmbp2",564,527,491,396,608,440
"Igip",52,51,64,53,67,48
"Igll1",1,0,1,2,1,0
"Iglon5",2,5,3,2,4,1
"Igsf1",0,0,0,0,0,0
"Igsf10",0,2,1,1,7,2
"Igsf11",0,0,1,0,0,0
"Igsf21",0,0,0,0,0,0
"Igsf23",15,11,8,11,7,11
"Igsf3",93,97,106,129,254,175
"Igsf5",9,7,5,1,5,2
"Igsf6",9072,7506,6956,5399,6058,6283
"Igsf8",2399,2454,2916,1267,1444,1855
"Igsf9",515,632,628,805,1196,627
"Igsf9b",0,0,0,4,7,1
"Igtp",582,504,504,597,869,510
"Ihh",7,2,4,3,2,2
"Iigp1",1,0,0,2,21,0
"Ik",5049,4501,4718,4007,5226,4102
"Ikbip",219,172,232,150,257,205
"Ikbkap",1694,1422,1461,1219,1547,1055
"Ikbkb",4634,4235,4565,4842,6911,5276
"Ikbke",8563,7258,6286,8655,10237,7240
"Ikbkg",2430,2050,1985,3036,3790,3056
"Ikzf1",5678,4873,4599,3312,4413,3133
"Ikzf2",265,246,230,383,506,283
"Ikzf3",201,189,145,262,478,274
"Ikzf4",1281,1312,1133,2624,4080,2167
"Ikzf5",620,545,564,433,573,413
"Il10",0,2,2,3,3,4
"Il10ra",6501,5773,6147,6014,8304,6408
"Il10rb",2939,2541,2582,2499,3000,2817
"Il11",3,1,2,1,4,4
"Il11ra1",641,615,735,553,638,738
"Il11ra2",0,0,0,0,0,0
"Il12a",31,28,35,83,124,121
"Il12b",334,337,422,619,895,850
"Il12rb1",82,82,62,120,142,92
"Il12rb2",1415,1239,1603,1978,3239,1859
"Il13",31,23,12,57,93,24
"Il13ra1",2185,1978,1975,1877,2309,2291
"Il13ra2",0,0,0,0,0,0
"Il15",277,287,313,542,889,491
"Il15ra",888,849,747,1278,2032,1252
"Il16",3518,2893,2506,2068,2200,2044
"Il17a",0,0,0,0,0,2
"Il17b",0,0,0,0,0,0
"Il17c",24,26,24,32,39,27
"Il17d",1,1,3,2,7,2
"Il17f",0,1,0,0,0,0
"Il17ra",6380,5605,4861,2909,3329,3500
"Il17rb",7,12,8,22,36,18
"Il17rc",7,15,7,15,23,7
"Il17rd",0,0,2,1,7,0
"Il17re",4,3,11,12,13,4
"Il18",57,61,101,36,56,46
"Il18bp",297,270,271,285,354,291
"Il18r1",770,805,818,414,718,509
"Il18rap",2397,2080,1712,1632,2339,1339
"Il19",0,0,0,0,1,1
"Il1a",334,446,346,1533,1504,1266
"Il1b",3200,3193,2793,5236,6083,6025
"Il1bos",47,43,31,52,90,60
"Il1f10",0,0,0,0,0,0
"Il1f5",0,0,0,0,0,0
"Il1f6",8,7,5,21,7,6
"Il1f8",4,0,1,0,0,2
"Il1f9",5174,4185,3667,3586,3820,4314
"Il1r1",183,162,174,177,218,110
"Il1r2",10792,8857,5324,6883,8145,5416
"Il1rap",1188,1166,942,1238,1647,1089
"Il1rapl1",0,0,0,0,0,1
"Il1rapl2",0,0,0,0,0,0
"Il1rl1",1151,1286,1035,1789,3079,956
"Il1rl2",1517,1223,1212,1077,1308,1123
"Il1rn",10091,8772,6821,18026,22656,13340
"Il2",1,2,0,0,0,1
"Il20",0,0,0,0,0,0
"Il20ra",0,0,0,0,0,0
"Il20rb",108,112,151,124,169,140
"Il21",0,0,0,0,0,0
"Il21r",5708,6046,5662,9048,11710,9719
"Il22",0,0,0,3,4,1
"Il22ra1",0,0,0,0,1,0
"Il22ra2",7,4,2,2,6,1
"Il23a",5,3,7,4,10,5
"Il23r",57,75,52,108,210,122
"Il24",1,1,0,0,0,0
"Il25",0,0,0,0,0,0
"Il27",84,62,74,46,73,74
"Il27ra",155,155,162,168,304,169
"Il2ra",1522,1327,1331,3492,5296,2518
"Il2rb",8,12,7,33,67,14
"Il2rg",8108,7078,7499,6205,7345,6644
"Il3",0,0,0,0,0,1
"Il31",0,0,1,0,1,0
"Il31ra",47,50,41,84,104,30
"Il33",6,3,5,7,6,2
"Il34",0,1,0,3,1,1
"Il3ra",953,943,904,1025,1366,985
"Il4",26,41,25,67,126,47
"Il4i1",116,103,128,357,534,242
"Il4ra",11236,10757,9388,13153,17926,13338
"Il5",1,1,0,0,0,0
"Il5ra",64,90,93,93,187,125
"Il6",142,159,126,567,1004,297
"Il6ra",2834,2329,2356,1556,1804,1521
"Il6st",3318,3160,4219,4163,6053,5531
"Il7",35,36,30,17,38,27
"Il7r",1805,2025,2028,2697,3992,3276
"Il9",0,0,0,0,0,0
"Il9r",20,18,13,30,37,19
"Ildr1",12,17,15,20,30,12
"Ildr2",0,0,0,0,0,0
"Ilf2",2142,2085,1981,1433,1953,1343
"Ilf3",2538,2379,2289,1779,2281,1705
"Ilk",5781,5308,5433,5011,6580,4969
"Ilkap",1789,1627,1703,1380,1856,1322
"Iltifb",0,0,0,0,0,0
"Ilvbl",751,710,714,669,893,770
"Immp1l",462,476,471,440,564,431
"Immp2l",19,11,20,18,17,11
"Immt",4126,3660,3842,2521,3263,2606
"Imp3",1069,950,972,775,958,768
"Imp4",2372,2059,2050,1566,2053,1484
"Impa1",1976,1620,1793,1240,1644,1307
"Impa2",1271,1167,1143,740,917,871
"Impact",1068,1060,972,1095,1607,1022
"Impad1",1614,1314,1390,1181,1531,1180
"Impdh1",1024,812,780,674,831,559
"Impdh2",3798,3367,3209,1820,2582,1539
"Impg1",0,0,0,0,0,0
"Impg2",16,12,16,12,20,19
"Ina",2,0,0,3,5,1
"Inadl",25,32,35,59,120,55
"Inafm1",347,352,311,337,426,298
"Inafm2",505,448,425,435,613,401
"Inca1",27,34,23,42,65,37
"Incenp",4558,3732,4515,1164,1347,1672
"Inf2",5016,4846,4671,5875,7522,6356
"Ing1",1614,1441,1452,1337,1713,1231
"Ing2",390,350,354,267,328,340
"Ing3",717,610,610,457,624,446
"Ing4",1806,1611,1633,1734,2228,1720
"Ing5",1057,859,914,725,893,696
"Inha",1,0,1,3,2,0
"Inhba",677,620,527,1644,2141,1042
"Inhbb",3,2,1,2,1,1
"Inhbc",0,0,0,0,0,0
"Inhbe",0,0,0,0,1,0
"Inip",1285,1137,1107,983,1277,875
"Inmt",0,0,0,0,0,0
"Ino80",2003,1841,1826,1966,2589,1851
"Ino80b",660,633,562,564,804,544
"Ino80c",1124,1021,1101,865,1100,963
"Ino80d",2995,2595,2319,2689,3821,2627
"Ino80dos",64,50,49,34,52,45
"Ino80e",1082,978,939,762,1010,799
"Inpp1",403,320,294,203,275,220
"Inpp4a",1544,1383,1443,961,1301,1104
"Inpp4b",148,110,100,329,629,156
"Inpp5a",817,689,620,732,1023,682
"Inpp5b",3317,3071,3059,3386,4875,3315
"Inpp5d",8531,7555,7741,6275,8152,6568
"Inpp5e",1110,955,913,907,1277,996
"Inpp5f",942,878,1030,692,988,865
"Inpp5j",874,939,682,1214,1803,1157
"Inpp5k",2761,2332,2412,2567,3612,2892
"Inppl1",2111,2053,2191,2301,3293,2572
"Ins1",0,0,0,0,0,0
"Ins2",0,0,0,0,0,0
"Insc",0,0,0,1,0,1
"Insig1",2112,1847,2533,2384,2920,2806
"Insig2",580,532,577,476,626,548
"Insl3",20,25,10,21,33,29
"Insl5",0,0,0,0,0,0
"Insl6",538,595,660,1546,2545,1492
"Insm1",144,182,141,431,782,287
"Insm2",1,2,0,0,1,0
"Insr",3407,3004,3176,2689,3749,3069
"Insrr",0,1,0,6,7,1
"Ints1",3295,2973,2825,2548,3276,2456
"Ints10",1166,1105,1195,829,1135,754
"Ints12",1254,1081,1180,1083,1501,1173
"Ints2",1018,827,828,607,836,570
"Ints3",3622,3416,3385,3523,5246,3777
"Ints4",1322,1140,1287,1085,1459,1064
"Ints5",1395,1206,1198,981,1291,938
"Ints6",975,770,903,811,1116,839
"Ints7",1232,1106,1202,653,801,696
"Ints8",1249,1134,1145,830,1144,919
"Ints9",1260,1091,1244,909,1204,840
"Intu",69,77,77,53,54,64
"Invs",405,397,351,469,626,489
"Ip6k1",4284,3813,3591,3933,5225,4003
"Ip6k2",599,561,589,561,709,545
"Ip6k3",52,56,27,91,131,98
"Ipcef1",1487,1337,1051,1305,1681,1026
"Ipmk",2109,1878,2011,1618,1862,1857
"Ipo11",816,691,703,489,650,465
"Ipo13",2088,1970,1999,1454,1821,1599
"Ipo4",1260,1089,1127,999,1147,792
"Ipo5",4746,4201,4231,2456,3169,2200
"Ipo7",3615,3170,3350,2153,2915,2096
"Ipo8",1964,1659,1781,1682,2573,1546
"Ipo9",2859,2508,2854,1438,1765,1607
"Ipp",225,179,191,149,192,141
"Ippk",461,420,372,317,338,237
"Ipw",0,0,0,0,0,0
"Iqca",1,0,2,0,0,0
"Iqcb1",149,120,117,152,221,125
"Iqcc",396,357,357,387,498,378
"Iqcd",13,17,18,16,20,7
"Iqce",801,715,697,711,1025,721
"Iqcf1",0,0,0,0,0,0
"Iqcf3",0,0,0,0,0,0
"Iqcf4",0,0,0,0,0,0
"Iqcf5",0,1,0,0,0,0
"Iqcf6",0,0,0,0,0,0
"Iqcg",12,4,7,22,34,18
"Iqch",2,1,0,2,0,1
"Iqcj",0,0,0,0,0,0
"Iqck",3,2,2,1,4,4
"Iqgap1",37683,33032,32971,35251,48628,34104
"Iqgap2",1815,1421,1119,1087,1457,896
"Iqgap3",1290,1125,1639,249,344,468
"Iqsec1",4431,3937,3414,5636,7169,5414
"Iqsec2",583,602,715,554,776,646
"Iqsec3",2,0,0,1,3,1
"Iqub",0,0,0,1,1,0
"Irak1",5295,4778,4624,4532,5783,4321
"Irak1bp1",42,21,34,41,44,33
"Irak2",2638,2465,2525,2553,3229,3170
"Irak3",3120,2548,2505,2487,2607,2925
"Irak4",1615,1430,1489,1284,1704,1310
"Ireb2",2827,2440,2617,2167,2924,2257
"Irf1",3672,3356,3191,4877,6716,5062
"Irf2",3371,3075,3082,2786,3760,2894
"Irf2bp1",809,740,758,655,802,643
"Irf2bp2",7483,6347,6039,5391,6192,5404
"Irf2bpl",472,454,441,460,605,562
"Irf3",2245,2150,2209,1971,2348,1944
"Irf4",7013,6943,7925,7524,11856,7077
"Irf5",15316,15061,15216,14973,19100,14111
"Irf6",11,8,18,17,29,18
"Irf7",694,573,468,1417,1628,1032
"Irf8",6345,6210,6806,20622,31067,18425
"Irf9",2056,1806,1839,2555,3522,2301
"Irg1",1802,1833,1578,3716,3854,4220
"Irgc1",174,161,229,160,126,218
"Irgm1",878,841,930,797,1132,794
"Irgm2",902,749,726,955,1359,813
"Irgq",803,744,750,651,865,789
"Irs1",4,0,0,1,1,1
"Irs2",583,527,627,580,866,662
"Irs3",50,56,59,43,50,44
"Irs4",0,0,0,0,0,0
"Irx1",0,0,0,0,1,0
"Irx2",0,0,0,0,0,0
"Irx3",1,0,0,0,2,0
"Irx4",0,0,0,0,0,0
"Irx5",1,1,0,0,3,3
"Irx6",0,0,0,0,0,0
"Isca1",698,652,661,592,733,552
"Isca2",877,783,732,697,920,749
"Iscu",2711,2548,2349,4099,5634,3616
"Isg15",235,175,199,441,455,372
"Isg20",219,173,167,270,222,170
"Isg20l2",1449,1230,1210,966,1313,872
"Isl1",0,0,0,0,0,0
"Isl2",0,1,0,0,2,0
"Islr",0,0,0,0,0,0
"Islr2",1,0,1,2,2,1
"Ism1",0,0,0,0,0,0
"Ism2",1,3,2,0,1,0
"Isoc1",1427,1289,1512,1069,1476,1209
"Isoc2a",881,836,1093,614,708,667
"Isoc2b",126,108,125,96,137,114
"Ispd",23,19,17,27,42,24
"Israa",1,4,1,3,2,6
"Ist1",2524,2238,2329,2138,2891,2365
"Isx",0,0,0,0,0,0
"Isy1",1809,1501,1533,1282,1703,1199
"Isyna1",4559,4211,3827,2484,3093,2477
"Itch",3986,3547,3631,4017,5498,3840
"Itfg1",1889,1807,1681,1827,2308,1890
"Itfg2",294,269,311,213,245,171
"Itfg3",1441,1249,1333,1227,1483,1465
"Itga1",2857,2656,2758,2046,2515,3134
"Itga10",103,99,73,91,138,74
"Itga11",2,0,1,8,4,3
"Itga2",51,29,27,72,118,42
"Itga2b",1776,1827,1194,3498,4962,2184
"Itga3",22,20,22,37,43,41
"Itga4",4283,3878,4100,5365,8665,6257
"Itga5",3913,3695,3918,3912,4687,4659
"Itga6",1527,1513,1210,1621,2517,1438
"Itga7",10,10,5,17,15,9
"Itga8",23,14,14,2,2,4
"Itga9",3,2,0,1,5,1
"Itgad",2,6,5,1,2,0
"Itgae",99,128,165,51,67,65
"Itgal",10097,9012,10189,4129,4939,5381
"Itgam",72008,61260,49886,62704,69330,58250
"Itgav",997,810,933,1194,1648,1014
"Itgax",19221,19945,23605,17312,21189,20232
"Itgb1",13115,12558,13511,14730,21007,14483
"Itgb1bp1",1159,1061,1079,904,1175,855
"Itgb1bp2",37,14,25,16,13,9
"Itgb2",41696,37865,37038,38674,42478,41198
"Itgb2l",4223,3416,2525,1550,1898,1549
"Itgb3",1359,1046,742,3087,4840,1541
"Itgb3bp",27,17,15,18,33,11
"Itgb4",7,11,12,10,16,18
"Itgb5",2055,1739,2062,1232,1566,1941
"Itgb6",0,0,0,0,2,1
"Itgb7",1620,1673,1418,2002,2938,1529
"Itgb8",4,5,6,32,61,19
"Itgbl1",0,0,0,0,0,0
"Itih1",9,9,12,110,185,48
"Itih2",0,0,0,0,1,3
"Itih3",1,1,0,0,3,3
"Itih4",0,1,2,2,3,1
"Itih5",328,253,155,156,201,83
"Itk",47,55,36,93,220,37
"Itln1",0,1,0,0,2,1
"Itm2a",7,14,7,14,33,6
"Itm2b",25066,22403,22393,20362,25430,22938
"Itm2c",5211,4727,5169,8480,11949,7837
"Itpa",1166,1025,1139,895,1068,919
"Itpk1",1695,1607,1619,1564,2439,1470
"Itpka",23,24,37,14,16,14
"Itpkb",1715,1613,1678,1926,2737,2092
"Itpkc",338,304,324,376,529,383
"Itpr1",1720,1387,1324,1252,1513,1027
"Itpr2",1243,1165,1099,1155,1634,1322
"Itpr3",1810,1628,1437,1798,2503,1823
"Itprip",2205,2060,1784,1411,1914,1499
"Itpripl1",878,835,1003,463,546,409
"Itpripl2",6627,6088,5817,5623,7467,5815
"Itsn1",798,794,821,955,1351,887
"Itsn2",5604,4710,4663,4710,6486,4654
"Ivd",1530,1411,1505,1191,1659,1321
"Ivl",4,5,4,1,4,0
"Ivns1abp",9558,8448,8808,6600,8798,7470
"Iws1",1883,1607,1691,1272,1868,1287
"Iyd",0,0,0,0,0,0
"Izumo1",4,1,2,2,2,1
"Izumo1r",1,0,1,0,2,2
"Izumo2",0,0,0,0,0,0
"Izumo3",0,0,0,0,0,0
"Izumo4",631,614,474,932,1409,755
"Jade1",965,807,932,947,1365,843
"Jade2",739,659,462,818,1181,703
"Jade3",288,239,240,205,249,192
"Jag1",270,281,266,593,845,841
"Jag2",67,66,86,72,116,82
"Jagn1",750,706,723,572,742,532
"Jak1",9867,8819,8810,8477,11680,9053
"Jak2",21305,20678,22348,29795,46305,27838
"Jak3",1646,1530,1415,2859,3891,2554
"Jakmip1",27,24,19,28,35,16
"Jakmip2",0,0,0,0,0,1
"Jakmip3",1,1,0,3,3,0
"Jam2",151,119,102,126,123,126
"Jam3",42,23,54,27,38,29
"Jarid2",2492,2203,2285,1879,2408,2099
"Jazf1",342,271,286,369,585,342
"Jchain",26,25,51,49,52,76
"Jdp2",1052,874,765,987,1298,743
"Jkamp",549,579,511,444,546,483
"Jmjd1c",5014,4310,3920,4532,6396,4114
"Jmjd4",335,292,286,237,341,234
"Jmjd6",1496,1315,1333,1167,1552,1242
"Jmjd7",3,2,2,0,3,5
"Jmjd8",271,245,255,192,272,211
"Jmy",260,244,242,236,365,308
"Josd1",1964,1738,1646,1455,2092,1727
"Josd2",730,678,669,654,777,669
"Jph1",1,2,1,3,2,2
"Jph2",0,0,0,1,0,0
"Jph3",152,131,103,137,151,97
"Jph4",2,4,1,6,6,6
"Jpx",30,30,22,22,36,28
"Jrk",135,121,92,106,157,137
"Jrkl",572,492,462,443,571,451
"Jsrp1",0,0,3,1,0,1
"Jtb",1315,1161,1240,1182,1585,1099
"Jun",2118,2008,2025,2552,3283,2525
"Junb",6907,6481,6229,10451,13148,11089
"Jund",5569,5754,6183,4599,6040,4512
"Jup",1216,1178,1717,967,1512,1358
"Kalrn",250,215,194,190,221,166
"Kank1",0,1,3,1,4,1
"Kank2",47,52,52,27,53,31
"Kank3",738,748,719,696,986,742
"Kank4",0,0,0,0,0,0
"Kank4os",0,0,0,0,0,0
"Kansl1",2596,2413,2358,2642,3609,2753
"Kansl1l",244,170,191,175,241,194
"Kansl2",1190,993,1010,911,1126,846
"Kansl3",3543,3550,3509,4322,6503,4636
"Kantr",297,251,251,257,385,227
"Kap",0,0,0,0,0,0
"Kars",3739,3260,2925,2385,3101,2106
"Kat2a",1581,1429,1400,994,1204,815
"Kat2b",1082,942,974,796,1170,866
"Kat5",1807,1685,1659,1543,2012,1552
"Kat6a",3988,3365,3274,3521,4859,3484
"Kat6b",564,483,466,533,772,602
"Kat7",3160,2824,2819,2193,3068,2306
"Kat8",540,468,523,517,638,522
"Katna1",1230,1051,1083,982,1226,943
"Katnal1",248,221,202,266,341,278
"Katnal2",2,0,7,0,0,0
"Katnb1",794,721,709,548,637,573
"Katnbl1",719,663,692,629,862,691
"Kazald1",56,51,88,12,16,29
"Kazn",95,83,84,65,112,144
"Kbtbd11",56,56,66,59,155,46
"Kbtbd12",0,1,3,2,2,1
"Kbtbd13",2,2,8,1,14,6
"Kbtbd2",1293,1137,1103,1024,1270,1058
"Kbtbd3",176,139,152,221,297,199
"Kbtbd4",709,649,594,565,740,568
"Kbtbd6",67,56,60,13,32,22
"Kbtbd7",790,583,583,568,743,470
"Kbtbd8",195,173,157,102,129,81
"Kcmf1",2238,2049,2064,1900,2450,1917
"Kcna1",0,0,0,0,1,0
"Kcna10",0,0,0,0,0,0
"Kcna2",5,6,8,12,22,7
"Kcna3",641,601,809,308,416,509
"Kcna4",1,1,0,0,0,0
"Kcna5",0,0,0,0,0,0
"Kcna6",0,0,0,0,0,0
"Kcna7",2,7,2,0,4,2
"Kcnab1",6,5,2,5,7,4
"Kcnab2",6540,5751,5480,3882,4537,3794
"Kcnab3",3,1,6,3,6,5
"Kcnb1",20,18,15,26,51,16
"Kcnb2",0,0,0,1,0,0
"Kcnc1",1,1,0,2,2,1
"Kcnc2",0,0,0,0,0,0
"Kcnc3",179,154,180,102,160,110
"Kcnc4",0,0,0,0,3,0
"Kcnd1",113,93,80,153,257,126
"Kcnd2",0,0,0,0,0,0
"Kcnd3",0,0,2,1,3,1
"Kcnd3os",0,0,0,0,0,0
"Kcne1",0,0,0,0,0,0
"Kcne1l",0,0,0,0,0,1
"Kcne2",0,0,0,0,1,0
"Kcne3",63,68,139,12,32,10
"Kcne4",0,0,0,0,0,0
"Kcnf1",0,0,2,1,6,0
"Kcng1",3,0,0,0,1,2
"Kcng2",2,8,8,3,3,5
"Kcng3",1,5,1,7,13,2
"Kcng4",0,0,0,0,0,0
"Kcnh1",0,0,3,2,1,0
"Kcnh2",0,0,1,2,2,0
"Kcnh3",119,131,151,271,393,279
"Kcnh4",28,19,12,15,28,12
"Kcnh5",0,0,1,0,0,0
"Kcnh6",0,0,1,1,3,2
"Kcnh7",7,9,4,6,6,3
"Kcnh8",0,0,0,0,0,0
"Kcnip1",1,1,0,0,0,0
"Kcnip2",0,4,1,5,2,3
"Kcnip3",27,28,76,11,28,16
"Kcnip4",29,15,21,31,43,16
"Kcnj1",2,0,0,0,0,0
"Kcnj10",44,44,78,8,6,14
"Kcnj11",0,1,0,0,0,0
"Kcnj12",1,1,1,1,1,0
"Kcnj13",10,4,3,3,8,3
"Kcnj14",7,2,3,0,1,2
"Kcnj15",0,0,0,0,1,0
"Kcnj16",0,0,0,2,2,0
"Kcnj2",523,418,340,386,512,441
"Kcnj3",0,0,0,0,0,0
"Kcnj4",0,0,0,0,0,0
"Kcnj5",75,38,29,138,161,85
"Kcnj6",0,0,0,0,1,3
"Kcnj8",11,15,12,10,14,8
"Kcnj9",12,14,14,2,4,9
"Kcnk1",0,0,0,0,0,0
"Kcnk10",0,0,1,2,0,0
"Kcnk12",52,36,40,16,24,10
"Kcnk13",510,515,628,494,610,706
"Kcnk15",0,0,0,0,0,0
"Kcnk16",0,0,0,0,0,0
"Kcnk18",1,0,2,1,0,0
"Kcnk2",0,0,0,0,0,0
"Kcnk3",0,0,0,1,0,0
"Kcnk4",3,6,4,6,2,3
"Kcnk5",69,72,51,86,158,35
"Kcnk6",3177,2905,3468,3392,5234,3521
"Kcnk7",36,27,25,37,67,41
"Kcnk9",0,0,0,0,0,0
"Kcnma1",1,2,0,5,9,1
"Kcnmb1",0,0,2,4,4,1
"Kcnmb2",0,0,0,0,0,0
"Kcnmb3",0,0,0,1,1,1
"Kcnmb4",0,0,0,0,0,0
"Kcnmb4os1",0,0,0,0,0,0
"Kcnmb4os2",0,0,0,0,1,0
"Kcnn1",6,6,9,8,4,6
"Kcnn2",0,0,0,0,1,1
"Kcnn3",1606,1224,874,1574,1908,1607
"Kcnn4",2576,2841,2656,2101,2481,2271
"Kcnq1",4,0,1,0,1,0
"Kcnq1ot1",275,241,243,250,334,261
"Kcnq2",4,2,1,5,2,1
"Kcnq3",1,6,10,9,7,10
"Kcnq4",0,0,0,0,0,0
"Kcnq5",31,40,23,48,60,22
"Kcnrg",32,30,22,14,19,9
"Kcns1",0,1,0,0,0,0
"Kcns2",0,0,0,0,0,0
"Kcns3",0,0,0,0,0,0
"Kcnt1",31,27,24,38,79,21
"Kcnt2",0,0,0,0,0,0
"Kcnu1",0,1,1,1,1,1
"Kcnv1",0,0,0,0,0,0
"Kcnv2",0,0,0,0,1,0
"Kcp",986,1073,993,1892,3282,1243
"Kctd1",143,118,104,214,345,160
"Kctd10",2739,2547,2451,2209,2810,2177
"Kctd11",798,807,637,827,1097,724
"Kctd12",10216,9279,10539,3568,4612,5533
"Kctd12b",250,211,287,146,207,202
"Kctd13",572,545,492,589,810,572
"Kctd14",58,56,91,251,286,255
"Kctd15",2,2,0,0,0,0
"Kctd16",0,2,0,0,0,0
"Kctd17",957,1008,1011,929,1340,941
"Kctd18",522,467,478,548,771,589
"Kctd19",9,7,9,5,6,3
"Kctd2",745,650,721,629,829,627
"Kctd20",4007,3349,3238,3045,4398,2535
"Kctd21",290,241,269,257,305,317
"Kctd3",739,692,761,581,754,589
"Kctd4",2,1,0,3,0,0
"Kctd5",935,801,806,645,875,702
"Kctd6",321,271,284,289,329,259
"Kctd7",376,350,386,332,431,402
"Kctd8",0,0,0,0,0,0
"Kctd9",1053,909,965,905,1218,949
"Kdelc1",609,518,545,345,435,358
"Kdelc2",118,117,139,129,183,116
"Kdelr1",2719,2318,2506,1897,2614,2184
"Kdelr2",1901,1575,1692,1100,1179,1131
"Kdelr3",20,7,33,23,22,17
"Kdf1",0,1,0,1,2,2
"Kdm1a",2051,1876,1913,1862,2610,1801
"Kdm1b",776,837,789,763,1155,820
"Kdm2a",6191,5497,5419,5493,7386,5397
"Kdm2b",1791,1657,1760,1611,2375,1553
"Kdm3a",2180,1895,1930,2659,3349,2758
"Kdm3b",5701,5101,5060,5270,7416,5340
"Kdm4a",5246,4847,5344,5780,7894,7295
"Kdm4b",1408,1343,1240,1699,2330,1754
"Kdm4c",997,944,907,874,1259,924
"Kdm4d",8,5,3,4,4,9
"Kdm5a",2566,2257,2187,2365,3322,2387
"Kdm5b",1057,1008,854,1348,1799,1264
"Kdm5c",7409,6816,6876,6890,9338,6839
"Kdm5d",0,0,0,0,0,0
"Kdm6a",3146,2771,2784,3172,5103,3277
"Kdm6b",2059,1896,1566,2102,2888,1848
"Kdm7a",5040,4092,3745,3169,3796,3180
"Kdm8",245,238,220,135,184,129
"Kdr",37,38,34,38,28,62
"Kdsr",383,342,413,255,365,266
"Keap1",2452,2114,2277,2072,2423,2128
"Keg1",0,0,0,0,0,0
"Kel",0,6,0,4,6,0
"Kera",0,0,0,0,0,0
"Khdc1a",4,2,0,9,17,9
"Khdc1b",0,0,0,0,0,0
"Khdc1c",0,0,0,1,0,0
"Khdc3",36,29,24,23,29,28
"Khdrbs1",4785,4190,4350,3370,4563,3620
"Khdrbs2",0,0,0,0,0,0
"Khdrbs3",23,29,13,10,12,6
"Khk",485,450,463,324,475,296
"Khnyn",3342,3088,2644,3747,5472,3790
"Khsrp",4913,4460,4387,3349,4618,3475
"Kidins220",6610,6016,5886,6759,9574,6965
"Kif11",3269,2610,3066,527,673,742
"Kif12",0,0,0,0,0,0
"Kif13a",2861,2413,2403,2088,2806,2256
"Kif13b",800,667,699,671,887,822
"Kif14",904,706,953,127,165,185
"Kif15",1615,1357,1624,313,403,442
"Kif16b",1267,1098,1366,1390,1884,1507
"Kif16bos",0,3,1,0,0,2
"Kif17",27,25,15,17,33,22
"Kif18a",348,246,294,76,112,90
"Kif18b",1128,906,1095,249,315,374
"Kif19a",36,31,33,46,64,29
"Kif1a",60,66,89,166,273,115
"Kif1b",3839,3659,3579,4879,7458,4995
"Kif1bp",825,743,779,796,934,730
"Kif1c",6027,5984,6081,6065,7702,6878
"Kif20a",2133,1890,2242,344,428,551
"Kif20b",1575,1296,1467,338,436,462
"Kif21a",14,11,15,5,14,8
"Kif21b",4452,3932,3575,4401,6205,4659
"Kif22",1625,1341,1663,311,354,408
"Kif23",1934,1559,2088,366,438,544
"Kif24",402,386,376,168,229,183
"Kif26a",1,1,0,5,7,5
"Kif26b",0,1,1,4,5,6
"Kif27",1,2,0,0,4,0
"Kif2a",1272,1115,1202,1073,1502,1067
"Kif2b",0,0,0,0,0,0
"Kif2c",1036,899,1120,164,204,251
"Kif3a",317,355,292,369,500,398
"Kif3b",4710,4399,4491,5223,7541,4747
"Kif3c",323,290,329,525,619,603
"Kif4",1124,905,1133,203,253,285
"Kif4-ps",2,0,0,0,0,0
"Kif5a",66,82,110,47,96,69
"Kif5b",6301,5472,5248,4464,5885,4509
"Kif5c",82,103,118,88,146,95
"Kif6",0,0,0,1,0,0
"Kif7",43,29,29,26,31,22
"Kif9",51,53,90,40,63,86
"Kifap3",427,375,474,342,516,429
"Kifc1",1572,1314,1678,436,505,505
"Kifc2",99,84,120,108,128,128
"Kifc3",182,160,188,77,98,111
"Kifc5b",585,495,595,215,256,226
"Kin",635,526,556,446,608,474
"Kir3dl1",0,0,0,0,0,0
"Kir3dl2",0,0,0,0,0,0
"Kirrel",29,39,26,60,112,68
"Kirrel2",1,1,1,0,6,2
